Chromosome	True_Positives	False_Negatives	False_Positives	Precision	Recall	F1_Score
PKD1	4	53	59	0.063	0.070	0.067
PKD1P1	3	29	42	0.067	0.094	0.078
PKD1P2	16	8	44	0.267	0.667	0.381
PKD1P3	1	19	54	0.018	0.050	0.027
PKD1P4	0	20	42	0.000	0.000	0.000
PKD1P5	17	16	54	0.239	0.515	0.327
PKD1P6	28	1	15	0.651	0.966	0.778
Total	69	146	310	0.182	0.321	0.232
