Read_Name	Origin_Gene	Mapped_Gene
Read51508	PKD1	PKD1
Read26741	PKD1P5	PKD1P2
Read35484	PKD1P3	PKD1P3
Read91678	PKD1	PKD1
Read4023	PKD1P6	PKD1P6
Read58552	PKD1P1	PKD1P5
Read19551	PKD1P3	PKD1P3
Read45746	PKD1	PKD1
Read37530	PKD1	PKD1
Read40845	PKD1P3	PKD1P5
Read5580	PKD1P3	PKD1P1
Read17310	PKD1P2	PKD1P2
Read13581	PKD1P4	PKD1P4
Read14362	PKD1P5	PKD1P2
Read4983	PKD1	PKD1
Read33444	PKD1P2	PKD1P1
Read92289	PKD1P2	PKD1P5
Read16670	PKD1P2	PKD1P4
Read39949	PKD1P5	PKD1P5
Read53144	PKD1P6	PKD1P6
Read99099	PKD1P3	PKD1P3
Read44215	PKD1	PKD1
Read73939	PKD1P5	PKD1P1
Read88163	PKD1P4	PKD1P4
Read3091	PKD1P5	PKD1P3
Read5668	PKD1P6	PKD1P6
Read72299	PKD1P4	PKD1P4
Read37037	PKD1P3	PKD1P1
Read59268	PKD1P3	PKD1P4
Read77973	PKD1P1	PKD1P1
Read65931	PKD1P1	PKD1P1
Read62593	PKD1P5	PKD1P3
Read86072	PKD1P2	PKD1P2
Read68696	PKD1P6	PKD1P6
Read73384	PKD1P2	PKD1P2
Read13454	PKD1P6	PKD1P6
Read50945	PKD1P5	PKD1P3
Read93600	PKD1P6	PKD1P6
Read99413	PKD1P3	PKD1P3
Read69412	PKD1P4	PKD1P1
Read2505	PKD1P2	PKD1P2
Read74734	PKD1P4	PKD1P6
Read30508	PKD1P6	PKD1P6
Read4878	PKD1P3	PKD1P3
Read37128	PKD1P6	PKD1P6
Read9184	PKD1	PKD1
Read79115	PKD1P5	PKD1P2
Read42437	PKD1P3	PKD1P1
Read27015	PKD1P6	PKD1P6
Read58964	PKD1P5	PKD1P5
Read85598	PKD1P6	PKD1P6
Read98359	PKD1P2	PKD1P2
Read15722	PKD1P2	PKD1P4
Read97912	PKD1P1	PKD1P6
Read66748	PKD1P4	PKD1P1
Read37492	PKD1P6	PKD1P6
Read35589	PKD1P6	PKD1P6
Read34320	PKD1P5	PKD1P1
Read70710	PKD1P3	PKD1P1
Read21704	PKD1P3	PKD1P3
Read81915	PKD1P5	PKD1P5
Read81361	PKD1P1	PKD1P1
Read27764	PKD1	PKD1
Read41365	PKD1P1	PKD1P4
Read63127	PKD1P3	PKD1P1
Read37874	PKD1P4	PKD1P4
Read89492	PKD1P2	PKD1P2
Read73461	PKD1P3	PKD1P3
Read37993	PKD1P1	PKD1P1
Read18055	PKD1P1	PKD1P1
Read78253	PKD1P5	PKD1P5
Read84058	PKD1	PKD1
Read62900	PKD1	PKD1
Read61517	PKD1P3	PKD1P3
Read44118	PKD1P2	PKD1P2
Read53903	PKD1P2	PKD1P2
Read26805	PKD1P1	PKD1P5
Read44055	PKD1P4	PKD1P4
Read23619	PKD1P3	PKD1P1
Read22243	PKD1P5	PKD1P5
Read14076	PKD1P2	PKD1P5
Read90651	PKD1P4	PKD1P3
Read85698	PKD1	PKD1
Read32872	PKD1P4	PKD1P4
Read45947	PKD1P1	PKD1P1
Read68710	PKD1P1	PKD1P5
Read81455	PKD1P1	PKD1P1
Read76325	PKD1P2	PKD1P2
Read3715	PKD1P3	PKD1P1
Read99277	PKD1	PKD1
Read57330	PKD1P2	PKD1P4
Read51120	PKD1	PKD1
Read82010	PKD1P4	PKD1P3
Read71407	PKD1	PKD1
Read92976	PKD1P2	PKD1P4
Read48306	PKD1P6	PKD1P6
Read50879	PKD1P1	PKD1
Read56583	PKD1P5	PKD1P5
Read73574	PKD1P5	PKD1P1
Read73452	PKD1	PKD1
Read82538	PKD1P1	PKD1P3
Read31817	PKD1P4	PKD1P4
Read52764	PKD1P6	PKD1P6
Read87829	PKD1	PKD1
Read50273	PKD1P2	PKD1P1
Read79157	PKD1P5	PKD1P2
Read30323	PKD1P5	PKD1P1
Read8024	PKD1P6	PKD1P5
Read53713	PKD1	PKD1
Read44954	PKD1P5	PKD1P1
Read16291	PKD1	PKD1
Read37441	PKD1P1	PKD1P4
Read48905	PKD1P6	PKD1P6
Read64322	PKD1P5	PKD1P2
Read71438	PKD1	PKD1
Read90011	PKD1P2	PKD1P2
Read39283	PKD1P5	PKD1P5
Read68683	PKD1P1	PKD1P3
Read89971	PKD1P6	PKD1P6
Read13920	PKD1	PKD1
Read41101	PKD1P5	PKD1P5
Read4167	PKD1P4	PKD1
Read57926	PKD1P2	PKD1P4
Read37393	PKD1	PKD1
Read49138	PKD1P3	PKD1P3
Read27987	PKD1P1	PKD1P3
Read97810	PKD1P1	PKD1P1
Read40230	PKD1P5	PKD1P5
Read53626	PKD1P3	PKD1P4
Read98628	PKD1P2	PKD1P4
Read46296	PKD1P4	PKD1P6
Read39349	PKD1P5	PKD1P5
Read91690	PKD1P1	PKD1P1
Read1822	PKD1P2	PKD1P2
Read24754	PKD1P6	PKD1P6
Read81104	PKD1	PKD1
Read71700	PKD1P3	PKD1P1
Read27753	PKD1P1	PKD1P4
Read78851	PKD1P5	PKD1P3
Read23295	PKD1	PKD1
Read4503	PKD1P4	PKD1P4
Read4392	PKD1P3	PKD1P1
Read23253	PKD1P1	PKD1P1
Read7335	PKD1	PKD1
Read57214	PKD1P6	PKD1P6
Read44012	PKD1P2	PKD1P2
Read62263	PKD1P6	PKD1P6
Read4726	PKD1P2	PKD1P4
Read69802	PKD1P1	PKD1P1
Read92375	PKD1P3	PKD1P3
Read27578	PKD1P5	PKD1P5
Read5361	PKD1P3	PKD1P1
Read89481	PKD1P2	PKD1P2
Read10891	PKD1P1	PKD1P3
Read21156	PKD1P6	PKD1P6
Read4998	PKD1P2	PKD1P2
Read43595	PKD1P2	PKD1P2
Read63846	PKD1P3	PKD1P1
Read20786	PKD1P3	PKD1P3
Read69645	PKD1P3	PKD1P3
Read88104	PKD1P6	PKD1P6
Read16871	PKD1	PKD1
Read90712	PKD1P3	PKD1P1
Read11067	PKD1P5	PKD1P6
Read76305	PKD1P5	PKD1P5
Read11045	PKD1P5	PKD1P1
Read87220	PKD1	PKD1
Read22576	PKD1P5	PKD1P1
Read84405	PKD1P3	PKD1P5
Read67370	PKD1P4	PKD1P1
Read15308	PKD1P3	PKD1P3
Read84124	PKD1P1	PKD1P3
Read23652	PKD1P6	PKD1P6
Read98386	PKD1P5	PKD1P5
Read49286	PKD1P4	PKD1P4
Read65612	PKD1P3	PKD1P3
Read23843	PKD1P1	PKD1P4
Read61086	PKD1P3	PKD1P1
Read70639	PKD1P3	PKD1P3
Read73855	PKD1P5	PKD1P5
Read41047	PKD1P6	PKD1P1
Read14433	PKD1P2	PKD1P2
Read63686	PKD1P3	PKD1P3
Read25977	PKD1P2	PKD1P2
Read35528	PKD1P5	PKD1P3
Read51166	PKD1P1	PKD1P3
Read72014	PKD1P5	PKD1P5
Read17861	PKD1	PKD1
Read65129	PKD1P4	PKD1P2
Read51491	PKD1P2	PKD1P2
Read30722	PKD1P4	PKD1P1
Read30721	PKD1P1	PKD1P2
Read36382	PKD1P2	PKD1P2
Read18435	PKD1P5	PKD1P5
Read75716	PKD1P4	PKD1P4
Read58681	PKD1	PKD1
Read82432	PKD1P5	PKD1P5
Read71690	PKD1P5	PKD1P5
Read75870	PKD1	PKD1
Read23276	PKD1P6	PKD1P6
Read84782	PKD1P5	PKD1P2
Read69337	PKD1P6	PKD1P6
Read73182	PKD1P4	PKD1P4
Read95062	PKD1P3	PKD1P3
Read439	PKD1P3	PKD1P3
Read28661	PKD1P2	PKD1P5
Read95266	PKD1P1	PKD1P1
Read17184	PKD1P3	PKD1P3
Read3495	PKD1P5	PKD1P2
Read129	PKD1P5	PKD1P5
Read48520	PKD1P1	PKD1P5
Read22534	PKD1P3	PKD1P3
Read94773	PKD1P4	PKD1P4
Read75352	PKD1P5	PKD1P3
Read52983	PKD1P5	PKD1P4
Read55980	PKD1P3	PKD1P3
Read68510	PKD1P5	PKD1P3
Read78661	PKD1P4	PKD1P2
Read87556	PKD1P4	PKD1P1
Read89834	PKD1P5	PKD1P2
Read49755	PKD1P4	PKD1P2
Read81946	PKD1	PKD1
Read49061	PKD1P3	PKD1P1
Read83630	PKD1P3	PKD1P3
Read3793	PKD1P5	PKD1P2
Read51823	PKD1P4	PKD1P4
Read52009	PKD1P1	PKD1P5
Read90460	PKD1P1	PKD1P2
Read34255	PKD1P6	PKD1P6
Read10670	PKD1P3	PKD1P3
Read31388	PKD1P1	PKD1P5
Read63354	PKD1P2	PKD1P2
Read55481	PKD1P6	PKD1P6
Read8345	PKD1P4	PKD1
Read65810	PKD1P6	PKD1P6
Read66485	PKD1P2	PKD1P4
Read73408	PKD1P3	PKD1P1
Read84557	PKD1P2	PKD1P4
Read87110	PKD1P4	PKD1P4
Read7635	PKD1P2	PKD1P2
Read27213	PKD1P3	PKD1P3
Read27777	PKD1P5	PKD1P5
Read42343	PKD1P4	PKD1P2
Read48027	PKD1P1	PKD1P1
Read60738	PKD1	PKD1
Read67775	PKD1P5	PKD1P5
Read25134	PKD1P1	PKD1P1
Read59872	PKD1	PKD1
Read83488	PKD1P1	PKD1P1
Read20633	PKD1P3	PKD1P5
Read69883	PKD1P1	PKD1P3
Read17237	PKD1P2	PKD1P4
Read25566	PKD1P3	PKD1P1
Read97006	PKD1P3	PKD1P3
Read88412	PKD1P6	PKD1P6
Read68872	PKD1	PKD1
Read55888	PKD1P4	PKD1P4
Read72929	PKD1	PKD1
Read80804	PKD1	PKD1
Read85062	PKD1P5	PKD1P5
Read41443	PKD1	PKD1
Read69405	PKD1P3	PKD1P1
Read76477	PKD1P6	PKD1P3
Read54296	PKD1P2	PKD1P2
Read23485	PKD1P3	PKD1P5
Read99794	PKD1P6	PKD1P6
Read55243	PKD1	PKD1
Read33568	PKD1P3	PKD1P3
Read92009	PKD1P3	PKD1P3
Read27371	PKD1	PKD1
Read95608	PKD1P6	PKD1P6
Read99767	PKD1P3	PKD1P3
Read25707	PKD1P3	PKD1P5
Read105	PKD1P4	PKD1P1
Read59294	PKD1P1	PKD1P1
Read66982	PKD1	PKD1
Read50525	PKD1P2	PKD1P2
Read84010	PKD1	PKD1P6
Read53026	PKD1P6	PKD1P6
Read18019	PKD1P1	PKD1P1
Read83062	PKD1P3	PKD1P4
Read72423	PKD1P6	PKD1P6
Read95078	PKD1	PKD1
Read78241	PKD1P2	PKD1P1
Read77763	PKD1P1	PKD1P5
Read16318	PKD1P6	PKD1P3
Read59632	PKD1P2	PKD1P2
Read83985	PKD1P4	PKD1P4
Read59332	PKD1	PKD1
Read27376	PKD1P3	PKD1P3
Read67919	PKD1P1	PKD1P1
Read85718	PKD1	PKD1
Read7766	PKD1P3	PKD1P3
Read36491	PKD1P5	PKD1P5
Read51049	PKD1P1	PKD1P3
Read83558	PKD1P4	PKD1P2
Read71874	PKD1P3	PKD1P5
Read52844	PKD1P3	PKD1P3
Read56412	PKD1P5	PKD1P4
Read23725	PKD1P1	PKD1P1
Read60875	PKD1P2	PKD1P5
Read61671	PKD1P2	PKD1P2
Read36471	PKD1P2	PKD1
Read48557	PKD1P4	PKD1P1
Read24400	PKD1	PKD1
Read54384	PKD1P6	PKD1P6
Read58601	PKD1P1	PKD1P3
Read14992	PKD1P5	PKD1P5
Read80152	PKD1P1	PKD1P1
Read5648	PKD1P3	PKD1P4
Read55052	PKD1P5	PKD1P2
Read36953	PKD1P5	PKD1P1
Read78030	PKD1P3	PKD1
Read23171	PKD1P4	PKD1P5
Read1034	PKD1P2	PKD1P2
Read16393	PKD1P5	PKD1P2
Read49716	PKD1P3	PKD1P4
Read72668	PKD1P1	PKD1P1
Read70018	PKD1P5	PKD1
Read7545	PKD1P4	PKD1P4
Read78894	PKD1P2	PKD1P2
Read10275	PKD1P4	PKD1P4
