Origin_Gene	PKD1	PKD1P1	PKD1P2	PKD1P3	PKD1P4	PKD1P5	PKD1P6
PKD1	13213	15	15	24	8	24	70
PKD1P1	11	1638	12	31	58	42	12
PKD1P2	11	23	2950	16	34	69	16
PKD1P3	17	91	16	3390	43	49	21
PKD1P4	7	47	56	30	2291	24	15
PKD1P5	12	36	52	27	13	3030	24
PKD1P6	81	35	36	64	27	39	10919
