Read_Name	Origin_Gene	Mapped_Gene
Read64690	PKD1	PKD1
Read64692	PKD1	PKD1
Read64695	PKD1P5	PKD1P5
Read64696	PKD1P3	PKD1P3
Read64697	PKD1P1	PKD1P1
Read64699	PKD1P3	PKD1P3
Read64701	PKD1P6	PKD1P6
Read64703	PKD1P2	PKD1P2
Read64711	PKD1	PKD1
Read64715	PKD1	PKD1
Read64716	PKD1	PKD1
Read64718	PKD1	PKD1
Read64720	PKD1P4	PKD1P4
Read64726	PKD1P2	PKD1P2
Read64727	PKD1P3	PKD1P3
Read64729	PKD1P6	PKD1P6
Read64736	PKD1P3	PKD1P3
Read64737	PKD1	PKD1
Read64738	PKD1P6	PKD1P6
Read64741	PKD1P1	PKD1P1
Read64742	PKD1P6	PKD1P6
Read64744	PKD1P3	PKD1P3
Read64748	PKD1P3	PKD1P3
Read64755	PKD1P6	PKD1P6
Read64760	PKD1P3	PKD1P3
Read64766	PKD1	PKD1
Read64767	PKD1	PKD1
Read64770	PKD1P6	PKD1P6
Read64771	PKD1P6	PKD1P6
Read64772	PKD1	PKD1
Read64778	PKD1P6	PKD1P6
Read64779	PKD1	PKD1
Read64784	PKD1P6	PKD1P6
Read64788	PKD1	PKD1
Read64791	PKD1P6	PKD1P6
Read64792	PKD1P4	PKD1P4
Read64794	PKD1	PKD1
Read64795	PKD1	PKD1
Read64803	PKD1	PKD1
Read64804	PKD1P6	PKD1P6
Read64806	PKD1	PKD1
Read64807	PKD1P6	PKD1P6
Read64809	PKD1P4	PKD1P4
Read64813	PKD1P3	PKD1P3
Read64814	PKD1P6	PKD1P6
Read64822	PKD1P5	PKD1P5
Read64823	PKD1P3	PKD1P3
Read64832	PKD1P3	PKD1P3
Read64833	PKD1P3	PKD1P3
Read64834	PKD1P2	PKD1P2
Read64835	PKD1P6	PKD1P6
Read64840	PKD1P1	PKD1P1
Read64844	PKD1P6	PKD1P6
Read64846	PKD1P4	PKD1P4
Read64856	PKD1	PKD1
Read64859	PKD1P6	PKD1P6
Read64860	PKD1	PKD1
Read64861	PKD1	PKD1
Read64862	PKD1	PKD1
Read64866	PKD1P5	PKD1P5
Read64867	PKD1	PKD1
Read64871	PKD1	PKD1
Read64872	PKD1	PKD1
Read64880	PKD1P3	PKD1P3
Read64882	PKD1P3	PKD1P3
Read64883	PKD1P2	PKD1P2
Read64884	PKD1	PKD1
Read64888	PKD1P2	PKD1P2
Read64889	PKD1P1	PKD1P1
Read64892	PKD1P1	PKD1P1
Read64893	PKD1P6	PKD1P6
Read64895	PKD1P6	PKD1P6
Read64905	PKD1P4	PKD1P4
Read64906	PKD1P3	PKD1P3
Read64907	PKD1	PKD1
Read64913	PKD1P2	PKD1P2
Read64917	PKD1	PKD1
Read64920	PKD1P3	PKD1P3
Read64923	PKD1	PKD1
