Read_Name	Origin_Gene	Mapped_Gene
Read61221	PKD1P3	PKD1P3
Read61222	PKD1P2	PKD1P2
Read61223	PKD1	PKD1
Read61225	PKD1P6	PKD1P6
Read61228	PKD1P6	PKD1P6
Read61230	PKD1	PKD1
Read61233	PKD1P3	PKD1P3
Read61236	PKD1P6	PKD1P6
Read61237	PKD1P6	PKD1P6
Read61238	PKD1P6	PKD1P6
Read61239	PKD1P6	PKD1P6
Read61243	PKD1	PKD1
Read61246	PKD1	PKD1
Read61247	PKD1P3	PKD1P3
Read61249	PKD1P5	PKD1P5
Read61251	PKD1P6	PKD1P6
Read61254	PKD1	PKD1
Read61255	PKD1P1	PKD1P1
Read61256	PKD1	PKD1
Read61259	PKD1P2	PKD1P2
Read61261	PKD1P2	PKD1P2
Read61263	PKD1	PKD1
Read61270	PKD1P1	PKD1P1
Read61272	PKD1P6	PKD1P6
Read61273	PKD1	PKD1
Read61274	PKD1	PKD1
Read61276	PKD1	PKD1
Read61277	PKD1P6	PKD1P6
Read61278	PKD1	PKD1
Read61282	PKD1	PKD1
Read61283	PKD1P3	PKD1P3
Read61285	PKD1	PKD1
Read61287	PKD1	PKD1
Read61288	PKD1	PKD1
Read61290	PKD1P2	PKD1P2
Read61291	PKD1P5	PKD1P5
Read61301	PKD1	PKD1
Read61302	PKD1P6	PKD1P6
Read61304	PKD1P6	PKD1P6
Read61307	PKD1P3	PKD1P3
Read61310	PKD1	PKD1
Read61322	PKD1P2	PKD1P2
Read61324	PKD1P1	PKD1P1
Read61329	PKD1	PKD1
Read61331	PKD1P6	PKD1P6
Read61332	PKD1P5	PKD1P5
Read61345	PKD1P2	PKD1P2
Read61347	PKD1	PKD1
Read61350	PKD1	PKD1
Read61357	PKD1	PKD1
Read61361	PKD1	PKD1
Read61363	PKD1P6	PKD1P6
Read61366	PKD1P6	PKD1P6
Read61372	PKD1P6	PKD1P6
Read61375	PKD1P6	PKD1P6
Read61376	PKD1P4	PKD1P4
Read61377	PKD1P3	PKD1P6
